id,name,latitude,longitude,dpcapacity,online_date
0,Noble Ave & Kingsbury Water,41.7739356913,-87.6459353912,11,4/7/2015
456,2112 W Peterson Ave,41.991178,-87.683593,15,5/12/2015
64509,Greenview Ave & Noyes St,41.8344720262,-87.5353666365,2,10/31/2014
1734,Saginaw Ave & Lunt Ave,41.7068981909,-87.5200077361,7,12/9/2014
65038,Jefferson Jr & Delaware Ave,41.8098239946,-87.6246172837,6,5/10/2014
96402,Carpenter Produce & Monroe St,41.778422965,-87.5105990239,19,3/25/2015
29274,Blackstone Ct & Touhy Rd,41.7531337974,-87.6507292512,10,7/15/2016
53347,Talman Ave & Armitage St,41.7338842238,-87.5761074672,22,12/18/2016
35246,Kilbourn Ave & Clark St,41.8518288264,-87.5853678631,10,4/12/2016
47823,Commercial Ave & Wrightwood St,41.8214444291,-87.5540493315,18,6/19/2014
35976,Hermitage Ave & Roosevelt Pkwy,41.7611183278,-87.5882984684,15,5/5/2015
35323,MLK Plaza & Madison Ave,41.7422156271,-87.5809249984,14,11/28/2013
5648,Vernon Ave & Fulton St,41.804286995,-87.6317279242,9,3/9/2014
51482,Monticello St & Menomonee St,41.8453908517,-87.5923082785,17,13/13/2016
20268,Indiana Ave & Randolph St,41.744806176,-87.643387336,19,13/30/2015
50712,Hampden Ave & Erie Ave,41.7460157744,-87.6682030927,6,7/28/2015
82808,Racine Blvd & Ainslie Ave,41.8711296604,-87.689661866,25,10/4/2016
84611,Harper St & Luis Ave,41.8753660535,-87.5063694589,7,4/28/2014
77730,Milwaukee St & Huron St,41.7177774056,-87.5617296581,25,12/13/2015
54054,Clarendon St & Delaware St,41.8456137306,-87.5585532272,21,7/13/2016
28717,Austin Ave & Van Munoz,41.8025235329,-87.5090379791,20,11/7/2014
71295,Keystone Pl & Washington Ave,41.8589059253,-87.6060938907,21,11/21/2013
85237,Kedzie Ave & Grand Ave,41.8137183931,-87.5338849393,19,13/31/2015
28150,Ogden Ave & Berwyn St,41.7805838163,-87.6001770291,21,3/29/2015
53477,Ridge Blvd & Evergreen Mawr,41.7914787318,-87.5872035049,11,12/28/2013
40215,Valli Ave & Madison Ave,41.8977061383,-87.5730361643,13,5/22/2013
82126,Monticello Ave & Evanston Pl,41.8231067267,-87.6623394965,4,4/30/2014
5949,Racine Ave & Ontario Plaza,41.7203164679,-87.60047765,10,7/26/2016
66370,Hoyne Ave & Hyde St,41.7997122621,-87.5522561853,24,7/17/2015
94812,Evans St & Flournoy Plaine,41.8146186733,-87.6950761706,5,5/2/2016
65919,LaSalle Ave & Francis St,41.7787496233,-87.5014124056,12,6/15/2016
83893,Ravenswood St & Harrison St,41.7007631425,-87.5977649804,17,9/11/2013
93674,Museum Blvd & Wrightwood Ave,41.8751631167,-87.5857825421,10,2/31/2016
23310,Mason Ave & Ohio St,41.8523133292,-87.5582735801,11,11/15/2014
82500,Calumet Ave & Evergreen Ave,41.8211141057,-87.6369410222,13,13/4/2016
23622,Logan Ave & Evanston Ave,41.7630582323,-87.6224851489,25,2/9/2015
75290,Evans Ave & Winnebago Ave,41.7242266345,-87.6382768651,18,1/2/2015
70318,Dayton Ave & Hubbard St,41.7287293945,-87.5941215061,10,6/19/2016
8316,Peoria Ct & Armitage Ave,41.8066894863,-87.6834885182,19,10/20/2013
66575,Fairfield Dr & Walton St,41.7654438877,-87.5233293888,25,12/22/2016
8312,Cicero St & Randolph Rd,41.8165533454,-87.6087828578,18,1/6/2013
25988,Austin Ave & Tilden Pl,41.7985625829,-87.6885434678,13,5/6/2015
28933,LaSalle Ave & Pearson St,41.781265393,-87.6040915575,17,8/20/2014
8965,Avondale Ave & Walton St,41.866720925,-87.6377344133,25,6/20/2016
16674,Southport St & Van St,41.896287304,-87.5821136774,1,11/17/2014
52195,Mason Ave & Eastwood St,41.7377407526,-87.5007374105,23,7/24/2015
9717,Saginaw Ave & Webster Rd,41.7502505357,-87.5102323358,19,8/11/2014
