trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
9080542,3/31/2016 23:22,3/31/2016 23:30,208,463,9090,Millennium Park,9174,Canal St & Madison St,Subscriber,Male,1986
9080531,3/31/2016 23:07,3/31/2016 23:18,1759,650,9031,Franklin St & Chicago Ave,9210,Ashland Ave & Division St,Subscriber,Male,1990
9080520,3/31/2016 22:57,3/31/2016 23:05,3280,492,9005,State St & Harrison St,9098,LaSalle St & Washington St,Subscriber,Male,1992
9080510,3/31/2016 22:41,3/31/2016 22:51,2963,612,9256,Broadway & Sheridan Rd,9349,Halsted St & Wrightwood Ave,Subscriber,Male,1976
9080498,3/31/2016 22:33,3/31/2016 22:44,2207,653,9127,Lincoln Ave & Fullerton Ave,9058,Marshfield Ave & Cortland St,Subscriber,Male,1989
9080488,3/31/2016 22:27,3/31/2016 22:30,2008,150,9174,Canal St & Madison St,9075,Canal St & Jackson Blvd,Subscriber,Male,1979
9080475,3/31/2016 22:22,3/31/2016 22:41,3760,1181,9318,Southport Ave & Irving Park Rd,9458,Broadway & Thorndale Ave,Subscriber,Female,1979
9080461,3/31/2016 22:15,3/31/2016 22:26,2777,614,9374,Western Ave & Walton St,9016,Paulina Ave & North Ave,Subscriber,Male,1991
9080451,3/31/2016 22:12,3/31/2016 22:19,494,421,9067,Sheffield Ave & Fullerton Ave,9340,Clark St & Wrightwood Ave,Subscriber,Male,1990
9080440,3/31/2016 22:07,3/31/2016 22:14,2579,419,9226,Racine Ave & Belmont Ave,9250,Ashland Ave & Wellington Ave,Subscriber,Male,1990
9080430,3/31/2016 22:04,3/31/2016 22:08,1680,225,9344,Ravenswood Ave & Lawrence Ave,9242,Damen Ave & Leland Ave,Subscriber,Female,1987
9080420,3/31/2016 22:01,3/31/2016 22:09,602,480,9013,Wilton Ave & Diversey Pkwy,9229,Southport Ave & Roscoe St,Subscriber,Male,1981
9080409,3/31/2016 21:58,3/31/2016 22:12,2907,847,9190,Southport Ave & Wrightwood Ave,9296,Broadway & Belmont Ave,Subscriber,Male,1990
9080398,3/31/2016 21:51,3/31/2016 22:06,2387,890,9133,Kingsbury St & Kinzie St,9017,Wood St & Division St,Subscriber,Female,1990
9080387,3/31/2016 21:45,3/31/2016 22:02,874,1012,9289,Wells St & Concord Ln,9157,Lake Shore Dr & Wellington Ave,Subscriber,Female,1971
9080375,3/31/2016 21:42,3/31/2016 21:54,3862,742,9241,Morgan St & Polk St,9434,Ogden Ave & Roosevelt Rd,Subscriber,Male,1991
9080363,3/31/2016 21:38,3/31/2016 21:52,1090,838,9047,State St & Kinzie St,9268,Lake Shore Dr & North Blvd,Subscriber,Male,1989
9080347,3/31/2016 21:36,3/31/2016 21:47,1300,645,9328,Ellis Ave & 58th St,9247,Shore Dr & 55th St,Subscriber,Female,1995
9080328,3/31/2016 21:32,3/31/2016 21:37,1128,315,9114,Sheffield Ave & Addison St,9227,Southport Ave & Waveland Ave,Subscriber,Male,1990
9080313,3/31/2016 21:29,3/31/2016 21:34,1169,317,9144,Larrabee St & Webster Ave,9224,Halsted St & Willow St,Subscriber,Male,1990
9080299,3/31/2016 21:26,3/31/2016 21:49,143,1422,9144,Larrabee St & Webster Ave,9256,Broadway & Sheridan Rd,Subscriber,Male,1980
9080288,3/31/2016 21:24,3/31/2016 21:36,785,757,9342,Wolcott Ave & Polk St,9128,Damen Ave & Chicago Ave,Subscriber,Male,1993
9080278,3/31/2016 21:22,3/31/2016 21:31,2626,586,9337,Clark St & Chicago Ave,9052,Michigan Ave & Lake St,Subscriber,Female,1991
9080267,3/31/2016 21:19,3/31/2016 21:36,3942,996,9089,Financial Pl & Congress Pkwy,9015,Racine Ave & 18th St,Subscriber,Male,1988
9080253,3/31/2016 21:17,3/31/2016 21:23,2141,356,9325,Clark St & Winnemac Ave,9234,Clark St & Montrose Ave,Subscriber,Male,1979
9080242,3/31/2016 21:16,3/31/2016 23:29,4828,8015,9305,Western Ave & Division St,9305,Western Ave & Division St,Customer,,
9080229,3/31/2016 21:14,3/31/2016 21:23,3096,544,9313,Lakeview Ave & Fullerton Pkwy,9300,Broadway & Barry Ave,Subscriber,Female,1981
9080216,3/31/2016 21:11,3/31/2016 21:24,1282,770,9181,LaSalle St & Illinois St,9039,Wabash Ave & Adams St,Customer,,
9080203,3/31/2016 21:08,3/31/2016 21:14,3131,313,9240,Sheridan Rd & Irving Park Rd,9256,Broadway & Sheridan Rd,Subscriber,Male,1992
9080190,3/31/2016 21:05,3/31/2016 21:12,3522,399,9414,Canal St & Taylor St,9394,Clark St & 9th St (AMLI),Subscriber,Female,1987
9080176,3/31/2016 21:03,3/31/2016 21:11,4198,434,9196,Cityfront Plaza Dr & Pioneer Ct,9099,Lake Shore Dr & Ohio St,Subscriber,Male,1987
