trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
10426561,6/30/2016 23:35,7/1/2016 0:02,5229,1620,329,Lake Shore Dr & Diversey Pkwy,307,Southport Ave & Clybourn Ave,Subscriber,Male,1968
10426434,6/30/2016 23:09,6/30/2016 23:35,5218,1547,228,Damen Ave & Melrose Ave,253,Clifton Ave & Lawrence Ave,Subscriber,Female,1988
10426287,6/30/2016 22:48,6/30/2016 23:13,4199,1521,145,Mies van der Rohe Way & Chestnut St,35,Streeter Dr & Grand Ave,Customer,,
10426168,6/30/2016 22:31,6/30/2016 22:42,2659,668,113,Bissell St & Armitage Ave,69,Damen Ave & Pierce Ave,Subscriber,Male,1986
10426027,6/30/2016 22:18,6/30/2016 22:21,3887,157,254,Pine Grove Ave & Irving Park Rd,240,Sheridan Rd & Irving Park Rd,Subscriber,Female,1993
10425890,6/30/2016 22:04,6/30/2016 22:14,5296,608,144,Larrabee St & Webster Ave,289,Wells St & Concord Ln,Subscriber,Male,1990
10425756,6/30/2016 21:52,6/30/2016 22:00,2915,495,286,Franklin St & Quincy St,212,Orleans St & Ohio St,Subscriber,Male,1986
10425649,6/30/2016 21:39,6/30/2016 22:02,4196,1334,117,Wilton Ave & Belmont Ave,231,Sheridan Rd & Montrose Ave,Subscriber,Male,1977
10425531,6/30/2016 21:30,6/30/2016 21:50,4777,1254,289,Wells St & Concord Ln,213,Leavitt St & North Ave,Subscriber,Male,1989
10425394,6/30/2016 21:18,6/30/2016 21:31,1296,789,289,Wells St & Concord Ln,16,Paulina Ave & North Ave,Subscriber,Female,1989
10425279,6/30/2016 21:09,6/30/2016 21:24,3307,870,220,Hampden Ct & Diversey Pkwy,324,Stockton Dr & Wrightwood Ave,Subscriber,Female,1986
10425133,6/30/2016 20:59,6/30/2016 21:18,4681,1100,120,Wentworth Ave & Archer Ave,168,Michigan Ave & 14th St,Subscriber,Male,1981
10425010,6/30/2016 20:50,6/30/2016 20:56,1312,366,107,Desplaines St & Jackson Blvd,71,Morgan St & Lake St,Subscriber,Male,1970
10424887,6/30/2016 20:42,6/30/2016 20:48,3032,370,24,Fairbanks Ct & Grand Ave,90,Millennium Park,Subscriber,Male,1991
10424769,6/30/2016 20:34,6/30/2016 20:53,2606,1116,249,Montrose Harbor,154,Southport Ave & Belmont Ave,Subscriber,Male,1992
10424639,6/30/2016 20:25,6/30/2016 20:39,5334,840,36,Franklin St & Jackson Blvd,197,Michigan Ave & Madison St,Customer,,
10424505,6/30/2016 20:17,6/30/2016 20:29,5158,729,140,Dearborn Pkwy & Delaware Pl,174,Canal St & Madison St,Subscriber,Male,1971
10424383,6/30/2016 20:10,6/30/2016 20:25,2977,951,112,Green St & Randolph St,27,Larrabee St & North Ave,Subscriber,Female,1981
10424253,6/30/2016 20:01,6/30/2016 20:07,5030,332,14,Morgan St & 18th St,205,Paulina St & 18th St,Subscriber,Male,1992
10424133,6/30/2016 19:55,6/30/2016 19:57,2093,127,66,Clinton St & Lake St,77,Clinton St & Madison St,Subscriber,Male,1975
10424021,6/30/2016 19:50,6/30/2016 20:16,4844,1560,268,Lake Shore Dr & North Blvd,197,Michigan Ave & Madison St,Subscriber,Female,1988
10423914,6/30/2016 19:43,6/30/2016 19:49,5309,352,49,Dearborn St & Monroe St,75,Canal St & Jackson Blvd,Subscriber,Male,1960
10423807,6/30/2016 19:37,6/30/2016 20:00,3087,1385,268,Lake Shore Dr & North Blvd,268,Lake Shore Dr & North Blvd,Customer,,
10423693,6/30/2016 19:30,6/30/2016 19:36,222,336,344,Ravenswood Ave & Lawrence Ave,238,Ravenswood Ave & Montrose Ave (*),Subscriber,Female,1986
10423581,6/30/2016 19:25,6/30/2016 19:40,2814,882,68,Clinton St & Tilden St,273,Michigan Ave & 18th St,Subscriber,Male,1975
10423461,6/30/2016 19:20,6/30/2016 19:31,2559,683,461,Broadway & Ridge Ave,454,Broadway & Granville Ave,Subscriber,Female,1994
10423339,6/30/2016 19:15,6/30/2016 19:36,3911,1263,359,Larrabee St & Division St,504,Campbell Ave & Fullerton Ave,Subscriber,Male,1989
